z,s_hat,chi
0.13746815,-0.3358149331,2.3207166744
0.13776808,-0.3365109120,2.3202254698
0.13806801,-0.3372067436,2.3197345166
0.13836794,-0.3379024279,2.3192438144
0.13866787,-0.3385979651,2.3187533633
0.13896780,-0.3392933553,2.3182631629
0.13926773,-0.3399885984,2.3177732132
0.13956766,-0.3406836947,2.3172835140
0.13986759,-0.3413786441,2.3167940651
0.14016752,-0.3420734467,2.3163048663
0.14046745,-0.3427681027,2.3158159176
0.14076738,-0.3434626120,2.3153272186
0.14106731,-0.3441569749,2.3148387693
0.14136724,-0.3448511912,2.3143505695
0.14166717,-0.3455452612,2.3138626191
0.14196710,-0.3462391848,2.3133749178
0.14226703,-0.3469329622,2.3128874655
0.14256696,-0.3476265934,2.3124002620
0.14286689,-0.3483200786,2.3119133072
0.14316682,-0.3490134177,2.3114266009
0.14346675,-0.3497066109,2.3109401430
0.14376668,-0.3503996583,2.3104539332
0.14406661,-0.3510925598,2.3099679715
0.14436654,-0.3517853156,2.3094822576
0.14466647,-0.3524779258,2.3089967915
0.14496640,-0.3531703904,2.3085115728
0.14526633,-0.3538627095,2.3080266015
0.14556626,-0.3545548832,2.3075418775
0.14586619,-0.3552469116,2.3070574005
0.14616612,-0.3559387946,2.3065731703
0.14646605,-0.3566305325,2.3060891869
0.14676598,-0.3573221253,2.3056054501
0.14706591,-0.3580135730,2.3051219597
0.14736584,-0.3587048757,2.3046387155
0.14766577,-0.3593960335,2.3041557174
0.14796570,-0.3600870465,2.3036729652
0.14826563,-0.3607779147,2.3031904587
0.14856556,-0.3614686383,2.3027081979
0.14886549,-0.3621592173,2.3022261825
0.14916542,-0.3628496517,2.3017444124
0.14946535,-0.3635399416,2.3012628874
0.14976528,-0.3642300872,2.3007816074
0.15006521,-0.3649200885,2.3003005721
0.15036514,-0.3656099455,2.2998197816
0.15066507,-0.3662996583,2.2993392354
0.15096500,-0.3669892271,2.2988589337
0.15126493,-0.3676786518,2.2983788760
0.15156486,-0.3683679326,2.2978990624
0.15186479,-0.3690570695,2.2974194926
0.15216472,-0.3697460626,2.2969401666
0.15246465,-0.3704349120,2.2964610840
0.15276458,-0.3711236177,2.2959822448
0.15306451,-0.3718121799,2.2955036489
0.15336444,-0.3725005985,2.2950252960
0.15366437,-0.3731888737,2.2945471860
0.15396430,-0.3738770056,2.2940693187
0.15426423,-0.3745649941,2.2935916940
0.15456416,-0.3752528395,2.2931143118
0.15486409,-0.3759405416,2.2926371718
0.15516402,-0.3766281008,2.2921602740
0.15546395,-0.3773155169,2.2916836181
0.15576388,-0.3780027901,2.2912072040
0.15606381,-0.3786899204,2.2907310315
0.15636374,-0.3793769080,2.2902551006
0.15666367,-0.3800637528,2.2897794109
0.15696360,-0.3807504550,2.2893039625
0.15726353,-0.3814370146,2.2888287551
0.15756346,-0.3821234318,2.2883537885
0.15786339,-0.3828097065,2.2878790627
0.15816332,-0.3834958389,2.2874045774
0.15846325,-0.3841818290,2.2869303325
0.15876318,-0.3848676769,2.2864563279
0.15906311,-0.3855533827,2.2859825633
0.15936304,-0.3862389464,2.2855090387
0.15966297,-0.3869243681,2.2850357539
0.15996290,-0.3876096479,2.2845627087
0.16026283,-0.3882947858,2.2840899030
0.16056276,-0.3889797820,2.2836173367
0.16086269,-0.3896646365,2.2831450094
0.16116262,-0.3903493494,2.2826729213
0.16146255,-0.3910339207,2.2822010719
0.16176248,-0.3917183505,2.2817294613
0.16206241,-0.3924026389,2.2812580892
0.16236234,-0.3930867859,2.2807869556
0.16266227,-0.3937707917,2.2803160602
0.16296220,-0.3944546563,2.2798454028
0.16326213,-0.3951383797,2.2793749835
0.16356206,-0.3958219621,2.2789048019
0.16386199,-0.3965054035,2.2784348580
0.16416192,-0.3971887040,2.2779651515
0.16446185,-0.3978718637,2.2774956824
0.16476178,-0.3985548826,2.2770264505
0.16506171,-0.3992377607,2.2765574557
0.16536164,-0.3999204983,2.2760886977
0.16566157,-0.4006030953,2.2756201764
0.16596150,-0.4012855518,2.2751518918
0.16626143,-0.4019678679,2.2746838435
0.16656136,-0.4026500436,2.2742160316
0.16686129,-0.4033320790,2.2737484557
0.16716122,-0.4040139743,2.2732811159
0.16746115,-0.4046957294,2.2728140119
0.16776108,-0.4053773445,2.2723471435
0.16806101,-0.4060588196,2.2718805107
0.16836094,-0.4067401547,2.2714141133
0.16866087,-0.4074213500,2.2709479511
0.16896080,-0.4081024055,2.2704820240
0.16926073,-0.4087833213,2.2700163318
0.16956066,-0.4094640975,2.2695508744
0.16986059,-0.4101447341,2.2690856517
0.17016052,-0.4108252312,2.2686206634
0.17046045,-0.4115055888,2.2681559095
0.17076038,-0.4121858071,2.2676913898
0.17106031,-0.4128658862,2.2672271041
0.17136024,-0.4135458260,2.2667630522
0.17166017,-0.4142256266,2.2662992342
0.17196010,-0.4149052882,2.2658356497
0.17226003,-0.4155848108,2.2653722987
0.17255996,-0.4162641944,2.2649091810
0.17285989,-0.4169434392,2.2644462964
0.17315982,-0.4176225451,2.2639836449
0.17345975,-0.4183015124,2.2635212262
0.17375968,-0.4189803409,2.2630590402
0.17405961,-0.4196590309,2.2625970868
0.17435954,-0.4203375824,2.2621353658
0.17465947,-0.4210159954,2.2616738771
0.17495940,-0.4216942701,2.2612126205
0.17525933,-0.4223724064,2.2607515959
0.17555926,-0.4230504045,2.2602908031
0.17585919,-0.4237282644,2.2598302420
0.17615912,-0.4244059862,2.2593699125
0.17645905,-0.4250835700,2.2589098144
0.17675898,-0.4257610158,2.2584499475
0.17705891,-0.4264383238,2.2579903117
0.17735884,-0.4271154939,2.2575309069
0.17765877,-0.4277925262,2.2570717329
0.17795870,-0.4284694209,2.2566127895
0.17825863,-0.4291461779,2.2561540767
0.17855856,-0.4298227974,2.2556955943
0.17885849,-0.4304992795,2.2552373421
0.17915842,-0.4311756241,2.2547793200
0.17945835,-0.4318518314,2.2543215279
0.17975828,-0.4325279014,2.2538639656
0.18005821,-0.4332038342,2.2534066329
0.18035814,-0.4338796298,2.2529495298
